name,number,@name,followers,er,country,domain,potential_reach
Achraf Hakimi,1,"Achraf Hakimi
 @achrafhakimi",20.4M,2.92%,Morocco,"Sports,  , Soccer,  , Journalists",6.1M
saadlamjarred,2,"saadlamjarred
 @saadlamjarred1",15.2M,0.5%,Morocco,"Entertainment and Music,  , Music,  , Lifestyle,  , Singer",4.6M
  asma lmnawar,3,"أسما لمنور asma lmnawar
 @asmalmnawar",13.3M,0.54%,Morocco,"Entertainment and Music,  , Music,  , Singer",4M
Salma Rachid,4,"Salma Rachid
 @salmarachid.official",10.8M,0.42%,Morocco,"Entertainment and Music,  , Music",3.2M
Rajaa Belmir,5,"Rajaa Belmir
 @rajaabelmir",10.5M,1.24%,Morocco,"Entertainment and Music,  , Music,  , Humor,  , Celebrities",3.1M
Dunia Batma  ,6,"Dunia Batma 🇲🇦 🎤
 @dunia_batma",10.1M,1.37%,Morocco,"Art,  , Singer",3M
Zouhair Bahaoui,7,"Zouhair Bahaoui
 @zouhairbahaoui",9.6M,0.31%,Morocco,"Entertainment and Music,  , Singer,  , Music",2.9M
KAWTAR BA-MOHAMED  ,8,"KAWTAR BA-MOHAMED كوثر بامو
 @kawtarbamo",8.6M,4.21%,Morocco,Beauty,2.6M
Ibtissam Tiskat,9,"Ibtissam Tiskat
 @ibtissamtiskatofficial",7.8M,0.28%,Morocco,"Entertainment and Music,  , Singer",2.3M
Rachid Allali,10,"Rachid Allali
 @allalirachid",7.7M,0.11%,Morocco,"Entertainment and Music,  , Entertainment",2.3M
Safae Hbirkou,11,"Safae Hbirkou
 @hbirkousafae_officiel",7M,1.23%,Morocco,family,2.1M
Yassine Bounou BONO,12,"Yassine Bounou “BONO”
 @bounouyassine_bono",6.6M,3.54%,Morocco,Soccer,2M
Leila Hadioui,13,"Leila Hadioui
 @leilahadioui",6.6M,0.19%,Morocco,"Art,  , Fashion,  , Celebrity,  , Modeling",2M
Meryem Asouab,14,"Meryem Asouab
 @meryemasouab",6.6M,2.69%,Morocco,"Fashion and Accessories,  , Beauty and Self Care,  , Modeling",2M
HATIM AMMOR |  ,15,"HATIM AMMOR | حاتم عمور
 @hatimammor",6.4M,0.12%,Morocco,"Entertainment and Music,  , Music,  , Singer",1.9M
Stars Casablanca -   ,16,"Stars Casablanca - نجوم الدار البيضاء
 @stars_casablanca",6M,0.19%,Morocco,"Entertainment and Music,  , Magazines",1.8M
Bassma Boussil,17,"Bassma Boussil
 @bassmaboussel",5.9M,1.71%,Morocco,"Beauty and Self Care,  , Business and Finance,  , Celebrities,  , Hair & Beauty",1.8M
   ,18,"𝐅𝐀𝐓𝐈 𝐉𝐀𝐌𝐀𝐋𝐈 فاتي جمالي
 @fatijamaliofficiel",5.8M,0.24%,Morocco,"Entertainment and Music,  , Celebrity,  , Music,  , Modeling",1.7M
Karima Gouit Official,19,"Karima Gouit Official
 @karimagouit",5.7M,0.56%,Morocco,"Entertainment and Music,  , Celebrity,  , Music,  , Modeling",1.7M
Farah El Fassi |  ,20,"Farah El Fassi | فرح الفاسي
 @farahelfassi1",5.2M,0.56%,Morocco,"Entertainment and Music,  , Singer,  , Music",1.6M
Adil Taouil -  ,21,"Adil Taouil - عادل تاويل
 @adiltaouil",5M,3.63%,Morocco,"Entertainment and Music,  , Upskilling,  , Modeling",1.5M
AMINUX,22,"AMINUX
 @aminuxamine",4.8M,0.25%,Morocco,"Entertainment and Music,  , Music,  , Band",1.4M
Safaa Hanaa |  ,23,"Safaa Hanaa | صفاء هناء
 @safaahanaa",4.4M,0.47%,Morocco,"Arts and Crafts,  , Singer",1.3M
Nouaman Belaiachi,24,"Nouaman Belaiachi
 @nouamanbelaiachi",4.3M,0.36%,Morocco,"Entertainment and Music,  , Music,  , Modeling,  , Actors",1.3M
Medhi Benatia,25,"Medhi Benatia
 @m.benatia5",4.3M,2.29%,Morocco,"Fitness,  , Lifestyle",1.3M
Ihssane Benalluch   ,26,"Ihssane Benalluch احسان بنعلوش 🇲🇦
 @ihssanebenalluch",4.3M,5.2%,Morocco,"Life and Society,  , Education,  , Lifestyle,  , Celebrities",1.3M
ZOUBER,27,"ZOUBER
 @ezzoubairhilal",4.2M,8.23%,Morocco,"Entertainment and Music,  , Animation and Cosplay,  , Celebrity,  , Coaching",1.3M
Hicham Masrar,28,"Hicham Masrar
 @hichammasrar1",4.1M,0.19%,Morocco,"Fitness and Health,  , Modeling,  , Actors",1.2M
M2THAK,29,"M2THAK
 @m2thakshow",3.9M,1.22%,Morocco,Music,1.2M
Nouhaila Barbie l  ,30,"Nouhaila Barbie l نهيلة باربي
 @nouhaila_barbie",3.9M,0.47%,Morocco,"Fashion and Accessories,  , Beauty and Self Care",1.2M
Iman Elbani Yildirim,31,"Iman Elbani Yildirim
 @iman_elbani",3.6M,1.04%,Morocco,"Fashion and Accessories,  , Celebrity,  , Modeling",1.1M
Jihane Kidari -  ,32,"Jihane Kidari - جيهان كيداري
 @jihane_kidari",3.5M,2.47%,Morocco,"Celebrity,  , Modeling",1.1M
Samira Said,33,"Samira Said
 @samirasaid",3.3M,0.3%,Morocco,"Entertainment and Music,  , Modeling,  , Singer",1M
Sofiane Boufal,34,"Sofiane Boufal
 @sofianeboufal_19",3.3M,15.96%,Morocco,,989.4K
Nora Skali Bellahcen,35,"Nora Skali Bellahcen
 @noraskaliofficial",3.3M,0.37%,Morocco,Acting and Drama,978K
Ihab Amir,36,"Ihab Amir
 @ihabamirofficiell",3.2M,0.25%,Morocco,"Art,  , Singer,  , Music,  , Songwriting",973.4K
Momo Bousfiha,37,"Momo Bousfiha
 @momoofficiel",3.2M,0.37%,Morocco,"Entertainment and Music,  , Funny,  , Celebrity,  , Moms",967K
Houda Saad,38,"Houda Saad
 @houdasaadofficiel",3.2M,0.09%,Morocco,"Entertainment and Music,  , Singer,  , Music,  , Songwriting",949.4K
Zakaria Aboukhlal,39,"Zakaria Aboukhlal
 @zakariaaboukhlal",3.1M,4.88%,Morocco,Sports,942.8K
